depth,strike,rake,pdc,mw,mxx,mxy,mxz,myy,myz,mzz
1.0,315.0,-85.0,68.0,5.76,6354.296,11001.122,37761.238,-2954.898,37172.285,-3399.398
2.0,318.0,-79.0,42.0,5.58,6219.645,11355.448,19795.801,-3285.958,19149.424,-2933.687
3.0,318.0,-78.0,39.0,5.58,6191.741,11696.96,19981.457,-3700.273,18945.576,-2491.468
4.0,303.0,-90.0,17.0,5.52,5749.536,12015.678,18785.484,-4477.467,12417.506,-1272.069
5.0,88.0,130.0,9.0,5.48,4778.462,12330.018,16698.43,-5642.086,9335.978,863.624
6.0,75.0,143.0,29.0,5.48,3157.326,12652.003,14939.122,-7353.221,7610.157,4195.895
7.0,71.0,141.0,54.0,5.49,903.882,12971.438,13564.721,-9663.186,6534.066,8759.304
8.0,66.0,135.0,74.0,5.51,-1587.536,13286.965,12475.091,-12282.646,5808.433,13870.182
9.0,62.0,129.0,84.0,5.53,-3609.81,13579.179,11600.642,-14625.819,5263.821,18235.629
10.0,59.0,125.0,89.0,5.55,-4625.864,13844.652,10891.377,-16173.887,4821.005,20799.75
11.0,57.0,124.0,94.0,5.55,-4624.764,14089.931,10316.115,-16846.766,4439.553,21471.529
12.0,59.0,126.0,97.0,5.55,-3792.726,14364.705,10496.436,-16409.709,4414.293,20202.436
13.0,58.0,126.0,98.0,5.55,-3412.858,14611.589,10077.263,-16627.477,4080.469,20040.334
14.0,59.0,127.0,92.0,5.54,-2707.542,14859.055,9727.531,-16519.047,3797.584,19226.59
15.0,59.0,129.0,86.0,5.54,-1878.548,15113.664,9433.234,-16263.325,3555.258,18141.873
16.0,60.0,131.0,81.0,5.53,-1046.156,15380.163,9182.006,-15975.521,3346.125,17021.676
17.0,62.0,134.0,78.0,5.52,-69.797,15534.997,8790.32,-15752.735,3645.956,15822.532
18.0,63.0,136.0,75.0,5.52,652.906,15834.664,8602.179,-15540.281,3469.373,14887.375
19.0,64.0,139.0,72.0,5.52,1302.207,16152.896,8432.751,-15392.392,3312.344,14090.185
20.0,60.0,160.0,78.0,5.41,11144.153,8324.633,6957.936,-12290.852,1169.346,1146.698
21.0,61.0,160.0,79.0,5.41,11367.844,8538.411,6804.034,-12386.922,1090.258,1019.078
22.0,61.0,161.0,80.0,5.41,11602.742,8768.054,6658.929,-12516.467,1019.613,913.725
23.0,61.0,161.0,81.0,5.42,11854.665,9014.25,6521.718,-12682.618,956.219,827.953
24.0,62.0,162.0,82.0,5.42,12127.046,9278.504,6390.832,-12888.008,899.05,760.962
